Source,total_bytes,packet_count,avg_packet_len,protocol_diversity,unique_destinations,cluster
2a01:36d:1100:4556:f118:c28:4994:85d4,424619,1272,333.8199685534591,4,18,2
2a01:4f9:2a:33a3::3,46910,39,1202.820512820513,2,1,0
3.126.247.219,78,1,78.0,1,1,2
31.13.64.50,11143,92,121.1195652173913,2,1,2
34.104.35.123,8454,16,528.375,2,1,2
34.107.230.169,48565,78,622.6282051282051,2,1,0
34.120.200.194,20239,103,196.49514563106797,2,1,2
34.234.166.21,2400,16,150.0,1,1,2
34.95.97.3,167985,135,1244.3333333333333,2,1,0
35.201.77.50,247505,553,447.56781193490053,2,1,2
35.246.250.148,44311,111,399.1981981981982,2,1,2
40.101.52.146,191393,209,915.755980861244,2,1,0
51.105.71.136,6091,15,406.06666666666666,2,1,2
52.0.218.127,44130,423,104.32624113475177,2,1,2
52.109.8.71,7923,12,660.25,2,1,0
52.111.255.0,12566,32,392.6875,2,1,2
52.113.194.132,114928,152,756.1052631578947,2,1,0
52.114.92.94,10406,16,650.375,2,1,0
52.142.237.134,20371,31,657.1290322580645,2,1,0
52.168.112.66,10663,26,410.11538461538464,2,1,2
52.177.138.113,38171,64,596.421875,2,1,2
52.177.15.84,12133,20,606.65,2,1,2
52.5.116.97,2400,16,150.0,1,1,2
52.84.109.109,16914,30,563.8,2,1,2
52.97.141.82,1819559,1754,1037.3768529076397,2,1,0
54.221.22.199,16800,112,150.0,1,1,2
74.125.173.104,665392,468,1421.7777777777778,2,1,0
74.125.173.70,501931,361,1390.3905817174516,2,1,0
74.125.173.73,924029,667,1385.3508245877063,2,1,0
77.234.90.76,37283,72,517.8194444444445,2,1,2
77.234.90.77,3261122,2423,1345.9026000825422,3,1,0
77.234.91.209,38306128,30453,1257.876990772666,4,1,1
77.234.91.210,283465,212,1337.0990566037735,2,1,0
8.2.111.71,918,17,54.0,1,1,2
80.158.19.40,26436,52,508.38461538461536,2,1,2
84.2.44.19,90,1,90.0,1,1,2
84.225.250.50,6143,12,511.9166666666667,2,1,2
84.53.161.11,1924,15,128.26666666666668,2,1,2
91.83.14.201,2717388,2047,1327.4978016609673,2,1,0
HuaweiTe_e4:81:0c,18984,452,42.0,1,2,2
IntelCor_e9:0b:15,42,1,42.0,1,1,2
fe80::1,144722,1190,121.61512605042017,3,9,2
fe80::6eeb:b6ff:fee4:8114,560,8,70.0,1,1,2
fe80::b454:51e3:7e0:7da6,44795,436,102.7408256880734,2,1,2
